CustomerCode,CountryName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt,AreaMtr
H-1,USA,8,6,48,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,6,0.54
H-1,USA,2,22.5,45,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],BROWN,REC,22.5,2.04
H-1,USA,7,6,42,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,6,0.54
H-1,USA,2,20,40,HAND TUFTED,TUFTED 60C+10C,O.T. [9499],MUSHROOM,REC,20,1.8
H-1,USA,2,19.25,38.5,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC,19.25,1.7325
H-1,USA,2,19.25,38.5,HAND TUFTED,TUFTED 60C,CHAMBERLAIN [SWR-104],BLACK,REC,19.25,1.7325
H-1,USA,5,6,30,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8593],MULTI,REC,6,0.54
H-1,USA,4,6,24,HAND TUFTED,TUFTED 60C,TIDES [8597],BLUE,REC,6,0.54
H-1,USA,2,9,18,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,9,0.816
H-1,USA,3,6,18,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],BLUE,REC,6,0.54
H-1,USA,2,6,12,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,6,0.54
H-1,USA,2,6,12,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BLUE/BEIGE,REC,6,0.54
H-1,USA,2,6,12,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC,6,0.54
H-1,USA,9,88,792,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SILVER,REC,88,7.92
H-1,USA,8,88,704,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],CHARCOAL/PINK,REC,88,7.92
H-1,USA,7,88,616,DURRY,FLATWOVEN JUTE+COTTON,SPIRIT,BLUE,REC,88,7.92
H-1,USA,7,88,616,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SEAGREEN,REC,88,7.92
H-1,USA,5,117,585,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],CHARCOAL/PINK,REC,117,10.53
H-1,USA,5,117,585,DURRY,FLATWOVEN JUTE+COTTON,SPIRIT,BLUE,REC,117,10.53
H-1,USA,4,134.0625,536.25,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SILVER,REC,134.0625,12.2425
H-1,USA,6,88,528,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],BLUE/GREEN,REC,88,7.92
H-1,USA,12,43.3125,519.75,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SILVER,REC,43.3125,3.9184
H-1,USA,4,117,468,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],BLUE/GREEN,REC,117,10.53
H-1,USA,10,43.3125,433.125,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SEAGREEN,REC,43.3125,3.9184
H-1,USA,3,134.0625,402.1875,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SEAGREEN,REC,134.0625,12.2425
H-1,USA,9,40,360,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],CHARCOAL/PINK,REC,40,3.6
H-1,USA,9,40,360,DURRY,FLATWOVEN JUTE+COTTON,SPIRIT,BLUE,REC,40,3.6
H-1,USA,7,40,280,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],BLUE/GREEN,REC,40,3.6
H-1,USA,4,60.0625,240.25,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SILVER,ROUND,60.0625,5.4289
H-1,USA,3,60.0625,180.1875,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],CHARCOAL/PINK,ROUND,60.0625,5.4289
H-1,USA,3,60.0625,180.1875,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SEAGREEN,ROUND,60.0625,5.4289
H-1,USA,7,24,168,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],CHARCOAL/PINK,REC,24,2.16
H-1,USA,8,19.25,154,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SILVER,REC,19.25,1.7325
H-1,USA,6,24,144,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],BLUE/GREEN,REC,24,2.16
H-1,USA,16,8.4375,135,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SILVER,REC,8.4375,0.7684
H-1,USA,2,60.0625,120.125,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],BLUE/GREEN,ROUND,60.0625,5.4289
H-1,USA,6,20,120,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SILVER,REC,20,1.8
H-1,USA,7,16.875,118.125,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],BLUE/GREEN,REC,16.875,1.53
H-1,USA,6,19.25,115.5,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SEAGREEN,REC,19.25,1.7325
H-1,USA,13,8.4375,109.6875,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SEAGREEN,REC,8.4375,0.7684
H-1,USA,5,20,100,HAND TUFTED,TUFTED 60C,TRINITY [8517],GREY/SEAGREEN,REC,20,1.8
H-1,USA,5,16.875,84.375,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],CHARCOAL/PINK,REC,16.875,1.53
H-1,USA,14,6,84,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],CHARCOAL/PINK,REC,6,0.54
H-1,USA,13,6,78,DURRY,FLATWOVEN JUTE+COTTON,SPIRIT,BLUE,REC,6,0.54
H-1,USA,11,6,66,HAND TUFTED,TUFTED 60C 0 PILE,EUCLID [9590],BLUE/GREEN,REC,6,0.54
C-1,USA,1,62.5,62.5,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],ANTIQUE/IVORY,REC,62.5,5.7
C-1,USA,1,40,40,HAND TUFTED,TUFTED 60C,ELOQ GARDEN [8517],GREY/IVORY,REC,40,3.7012
H-1,USA,16,128.25,2052,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,REC,128.25,11.5425
H-1,USA,21,71.25,1496.25,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],BROWN,REC,71.25,6.4125
H-1,USA,8,90.75,726,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,REC,90.75,8.25
H-1,USA,4,88,352,HANDWOVEN,SHAGGY 0C FELTED,FNR-5,LAVA,REC,88,7.92
H-1,USA,4,71.25,285,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,71.25,6.4125
H-1,USA,5,54,270,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,54,4.86
H-1,USA,3,88,264,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8593],MULTI,REC,88,7.92
H-1,USA,3,80,240,-,HANDWOVEN 8C FELTED W/V+V/V,CHUNKY BRAID,SILVER,REC,80,7.2
H-1,USA,3,71.25,213.75,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,71.25,6.4125
H-1,USA,2,88,176,HAND TUFTED,TUFTED 30C MS+VISC 2/16 5PLY,CASTILO [8974],CHARCOAL,REC,88,7.92
H-1,USA,9,19.25,173.25,HAND TUFTED,TUFTED 60C,CHAMBERLAIN [SWR-104],BLACK,REC,19.25,1.7325
H-1,USA,3,54,162,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,54,4.86
H-1,USA,4,38.5,154,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,38.5,3.486
H-1,USA,10,15,150,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,REC,15,1.35
H-1,USA,4,36,144,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,ROUND,36,3.24
H-1,USA,1,134.0625,134.0625,HAND TUFTED,TUFTED 30C MS+VISC 2/16 5PLY,CASTILO [8974],CHARCOAL,REC,134.0625,12.2425
H-1,USA,5,24,120,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,24,2.16
H-1,USA,9,11.25,101.25,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,11.25,1.0125
H-1,USA,2,49,98,HANDWOVEN,SHAGGY 0C FELTED,FNR-5,LAVA,ROUND,49,4.41
H-1,USA,5,19.25,96.25,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BLACK/BEIGE,REC,19.25,1.7325
H-1,USA,5,19.25,96.25,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BLUE/BEIGE,REC,19.25,1.7325
H-1,USA,5,19.25,96.25,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8593],MULTI,REC,19.25,1.7325
H-1,USA,2,43.3125,86.625,HAND TUFTED,TUFTED 60C,CHAMBERLAIN [SWR-104],BLACK,REC,43.3125,3.9184
H-1,USA,2,42,84,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,BOMBAY PRINT [8593],MULTI,REC,42,3.792
H-1,USA,4,20,80,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,20,1.8
H-1,USA,1,54,54,HAND TUFTED,TUFTED 60C,DUDLEY [9012],BEIGE,REC,54,4.86
H-1,USA,2,24,48,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],RUST,REC,24,2.16
H-1,USA,2,24,48,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,24,2.16
H-1,USA,2,22.5,45,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BLACK/BEIGE,REC,22.5,2.04
H-1,USA,7,6,42,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BLUE/BEIGE,REC,6,0.54
H-1,USA,2,19.25,38.5,HAND TUFTED,TUFTED 30C MS+VISC 2/16 5PLY,CASTILO [8974],CHARCOAL,REC,19.25,1.7325
H-1,USA,2,18,36,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,18,1.632
H-1,USA,3,6,18,HAND TUFTED,TUFTED 60C,DUDLEY [9012],NAVY/BEIGE,REC,6,0.54
H-1,USA,2,9,18,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,REC,9,0.816
H-1,USA,2,6,12,HAND TUFTED,TUFTED 60C,GOVERNOR [9014],BROWN,REC,6,0.54
C-1,USA,10,108,1080,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9436],IVORY/BLUE,REC,108,9.72
C-1,USA,8,108,864,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC,108,9.72
C-1,USA,8,80,640,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC,80,7.2
C-1,USA,14,40,560,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC,40,3.6
C-1,USA,4,108,432,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9423],BROWN/CREAM,REC,108,9.72
C-1,USA,8,40,320,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9423],BROWN/CREAM,REC,40,3.6
C-1,USA,4,80,320,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9436],IVORY/BLUE,REC,80,7.2
C-1,USA,6,40,240,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9436],IVORY/BLUE,REC,40,3.6
C-1,USA,1,9.5,9.5,HAND TUFTED,TUFTED 60C,REGAL [24134],BLACK/BEIGE,REC,9.5,0.858
T-2,ITALY,10,6,60,HAND TUFTED,TUFTED 60C,DOMINO,100 MULTI,REC,64.7361,6
T-2,ITALY,10,2.25,22.5,HAND TUFTED,TUFTED 60C,RAJMAHAL [9054],100 MULTI,ROUND,25,2.25
T-2,ITALY,10,1.8,18,HAND TUFTED,TUFTED 60C,RODELAS [9054],100 MULTI,REC,19.75,1.8
T-2,ITALY,3,4.08,12.24,GUN TUFTED,GUN TUFTED 60C 2PLY+10C,MASET,156 ROSSO  MULTI,REC,43.7361,4.08
T-2,ITALY,10,1.2,12,HAND TUFTED,TUFTED 60C SEMI WORSTED,OLINDINA [8769],156 ROSSO  MULTI,REC,13.3333,1.2
T-2,ITALY,1,3.91,3.91,HAND TUFTED,TUFTED 60C,DOMINO,100 MULTI,REC,42.3403,3.91
T-2,ITALY,20,6,120,HAND TUFTED,TUFTED 60C,DOMINO,100 MULTI,REC,64.7361,6
T-2,ITALY,10,6,60,HAND TUFTED,TUFTED 60C,PATCH-LUANDA,100 MULTI,REC,64.7361,6
T-2,ITALY,5,6,30,HAND TUFTED,TUFTED 60C SEMI WORSTED,ORIENTE [8765],156 ROSSO  MULTI,REC,64.7361,6
T-2,ITALY,10,2.25,22.5,HAND TUFTED,TUFTED 60C SEMI WORSTED,OROBO [8760],160 NERO MULTI,ROUND,25,2.25
T-2,ITALY,5,2.25,11.25,HAND TUFTED,TUFTED 60C,SATURNIA [9369],159 ARANCIO MULTI,ROUND,25,2.25
T-2,ITALY,1,12,12,HAND TUFTED,TUFTED 60C,PATCH-LUANDA,100 MULTI,REC,133.3333,12
T-2,ITALY,10,1.2,12,HAND TUFTED,TUFTED 60C SEMI WORSTED,OLINDINA [8769],156 ROSSO  MULTI,REC,13.3333,1.2
T-2,ITALY,5,1.44,7.2,HAND TUFTED,TUFTED 60C,LUANDA,140 ORO MULTI,ROUND,16,1.44
T-2,ITALY,5,1,5,HAND TUFTED,TUFTED 60C,REVERE [9054],100 MULTI,ROUND,10.5625,1
C-1,USA,1,56,56,HAND TUFTED,TUFTED 60C,REGAL [D-10252],BROWN/RED,REC,56,5.04
C-1,USA,1,20,20,HAND TUFTED,TUFTED 60C SEMI WORSTED,MARTHAS [10848],GOLD/GOLD,REC,20,1.8
C-1,USA,1,20.25,20.25,HAND TUFTED,TUFTED 60C,REGAL [E-2792],BEIGE/BROWN,ROUND,20.25,1.8225
T-2,ITALY,3,4.84,14.52,HAND TUFTED,TUFTED 60C,LUANDA,159 ARANCIO MULTI,ROUND,52.5625,4.84
T-2,ITALY,3,4.08,12.24,INDO-TIBBETAN,INDO-TIBBETAN 10/40 SEMI WORSTED,SAGUARO [9370],174 PETROLIO MULTI,REC,43.7361,4.08
P-5,USA,10,140,1400,DURRY,FLATWOVEN JUTE,HAZE,DENIM,REC,140,12.6
P-5,USA,10,80,800,DURRY,FLATWOVEN JUTE,HAZE,DENIM,REC,80,7.2
P-5,USA,10,40,400,DURRY,FLATWOVEN JUTE,HAZE,DENIM,REC,40,3.6
P-5,USA,15,15,225,DURRY,FLATWOVEN JUTE,HAZE,DENIM,REC,15,1.35
P-5,USA,10,20,200,DURRY,FLATWOVEN JUTE,HAZE,DENIM,REC,20,1.8
P-5,USA,23,6,138,DURRY,FLATWOVEN JUTE,HAZE,DENIM,REC,6,0.54
P-5,USA,15,80,1200,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,80,7.2
P-5,USA,8,140,1120,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,140,12.6
P-5,USA,30,15,450,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,15,1.35
P-5,USA,10,40,400,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,40,3.6
P-5,USA,38,6,228,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,6,0.54
P-5,USA,8,20,160,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,20,1.8
P-5,USA,50,3,150,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,3,0.27
P-5,USA,128,6,768,DURRY,FLATWOVEN SEAGRASS+COTTON,LA-PALMA,NATURAL,REC,6,0.54
P-5,USA,5,140,700,DURRY,FLATWOVEN SEAGRASS+COTTON,LA-PALMA,NATURAL,REC,140,12.6
P-5,USA,10,40,400,DURRY,FLATWOVEN SEAGRASS+COTTON,LA-PALMA,NATURAL,REC,40,3.6
P-5,USA,15,15,225,DURRY,FLATWOVEN SEAGRASS+COTTON,LA-PALMA,NATURAL,REC,15,1.35
P-5,USA,33,140,4620,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,FOG/CREAM,REC,140,12.6
P-5,USA,40,40,1600,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,FOG/CREAM,REC,40,3.6
P-5,USA,19,80,1520,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,FOG/CREAM,REC,80,7.2
P-5,USA,300,3,900,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,FOG/CREAM,REC,3,0.27
P-5,USA,38,15,570,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,FOG/CREAM,REC,15,1.35
P-5,USA,75,6,450,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,FOG/CREAM,REC,6,0.54
P-5,USA,20,20,400,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,FOG/CREAM,REC,20,1.8
P-5,USA,33,140,4620,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/WHITE,REC,140,12.6
P-5,USA,40,40,1600,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/WHITE,REC,40,3.6
P-5,USA,19,80,1520,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/WHITE,REC,80,7.2
P-5,USA,300,3,900,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/WHITE,REC,3,0.27
P-5,USA,38,15,570,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/WHITE,REC,15,1.35
P-5,USA,75,6,450,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/WHITE,REC,6,0.54
P-5,USA,20,20,400,DOUBLE BACK,D.B. 60C 2PLY+LEFA VISCOSE,HOMER,AZURE/WHITE,REC,20,1.8
JL,UK,30,4.08,122.4,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,43.7361,4.08
JL,UK,25,2.16,54,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,24,2.16
JL,UK,8,6,48,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,64.7361,6
JL,UK,22,1.35,29.7,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,REC,15,1.35
JL,UK,12,0.81,9.72,HANDWOVEN,SHAGGY 0C FELTED,PP-45,MULTI,ROUND,9,0.81
JL,UK,25,4.08,102,HAND TUFTED,TUFTED 60C+10C,CADIZ [9433],BLUE,REC,43.7361,4.08
JL,UK,20,4.08,81.6,HAND TUFTED,TUFTED 60C+10C,SANTANA [9386],RED,REC,43.7361,4.08
JL,UK,30,2.16,64.8,HAND TUFTED,TUFTED 60C+10C,CADIZ [9433],BLUE,REC,24,2.16
JL,UK,20,2.16,43.2,HAND TUFTED,TUFTED 60C+10C,SANTANA [9386],RED,REC,24,2.16
JL,UK,25,4.08,102,DOUBLE BACK,D.B. VISCOSE 2/16 5PLY,ZIGZAG,SILVER,REC,43.7361,4.08
JL,UK,21,2.16,45.36,DOUBLE BACK,D.B. VISCOSE 2/16 5PLY,ZIGZAG,SILVER,REC,24,2.16
JL,UK,35,4.08,142.8,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,GEO-1 [9477],GREEN,REC,43.7361,4.08
JL,UK,20,2.16,43.2,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,GEO-1 [9477],GREEN,REC,24,2.16
C-1,USA,24,108,2592,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9423],BROWN/CREAM,REC,108,9.72
C-1,USA,20,108,2160,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC,108,9.72
C-1,USA,24,80,1920,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9423],BROWN/CREAM,REC,80,7.2
C-1,USA,20,80,1600,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC,80,7.2
C-1,USA,30,40,1200,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9433],BLUE/IVORY,REC,40,3.6
C-1,USA,24,40,960,HAND TUFTED,TUFTED 60C+10C,CALLISTA [9423],BROWN/CREAM,REC,40,3.6
P-4,USA,39,40,1560,HAND TUFTED,TUFTED 60C,TRADITIONAL [9429],BLUE,REC,40,3.6
P-4,USA,5,80,400,HAND TUFTED,TUFTED 60C,TRADITIONAL [9429],BLUE,REC,80,7.2
DR,AUSTRALIA,1,5.8,5.8,DOUBLE BACK,D.B. LILEN 2/8+VISCOSE 5PLY,PLAIN,BLACK,REC,62.5417,5.8
DR,AUSTRALIA,3,8.16,24.48,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,CHEVRON,SILVER,REC,87.4722,8.16
DR,AUSTRALIA,2,5.8,11.6,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,CHEVRON,SILVER,REC,62.5417,5.8
DR,AUSTRALIA,1,2.4,2.4,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,CHEVRON,SILVER,REC,26.2222,2.4
M-1,USA,7,54,378,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,AMARI TRELLIS,PETAL,REC,54,4.86
M-1,USA,5,40,200,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,AMARI TRELLIS,PETAL,REC,40,3.6
M-1,USA,40,54,2160,KNOTTED,KNOTTED 3/12 60C+VISCOSE,DIAMOND,SILVER,REC,54,4.86
M-1,USA,150,1.5,225,KNOTTED,KNOTTED 3/12 60C+VISCOSE,DIAMOND,SILVER,REC,1.5,0.135
M-1,USA,150,1.5,225,KNOTTED,KNOTTED 3/12 60C+VISCOSE,DIAMOND,IVORY,REC,1.5,0.135
M-1,USA,17,108,1836,KNOTTED,KNOTTED 3/25 30C HS,DOUBLE DIAMOND,SILVER,REC,108,9.72
M-1,USA,11,80,880,DOUBLE BACK,D.B. LILEN 2/8+VISCOSE 5PLY,PLAIN,GREY,REC,80,7.2
M-1,USA,8,108,864,JACQUARD,JACQUARD 60C 2PLY+VISCOSE 8PLY,GRECO,FOG,REC,108,9.72
